N,InsSort,SelSort,MerSort,QckSort,TimSort,HybSort
10000,135364284,131845752,2789346,2099253,207394664,133036897
20000,635695583,537030064,4012284,3819674,912122934,631253323
30000,1560006462,1200963012,5953314,5917749,2805408390,1528402645
40000,2804765766,2020353196,8097128,8309035,4571860403,2836124393
50000,4708011961,3161519629,10884835,11532711,9516033165,4822245879
60000,7199090202,4605538600,13692373,15066537,13452142234,7475697736
70000,10223935441,5952119643,15868048,18023764,16710073474,10721298535
80000,13304613127,7264758294,18027506,20565701,19576663211,13940830066
90000,17260699699,9246801254,21423874,24333169,52519501648,18228983663
100000,23028794251,11407702086,25452053,27155950,51384383949,23073915950
